STAT_ID,STAT_REG1,STAT_HS,STAT_REG2,STAT_REG3
US,주석제품(Tin Mill Products),"7210110000,7210120000,7210500020,7210500090,7212100000,7212500000,7225990090,7226990180",반덤핑(조사중),"중국,독일,캐나다,한국"
US,황동봉(Brass Rod),"7407211500,7407213000,7407215000,7407217000,7407219000,7403210000",반덤핑(조사중),"브라질,인도,멕시코,남아공,한국"
US,황동봉(Brass Rod),"7407211500,7407213000,7407215000,7407217000,7407219000,7403210000",상계관세(조사중),"인도,이스라엘,한국"
US,알루미늄 호일(Certain Aluminum Foil),"7606,760611,760612,760691,760692,7607,760711,760719",반덤핑(조사중),"한국,태국"
US,알루미늄 호일(Certain Aluminum Foil),"7606,760611,760612,760691,760692,7607,760711,760719",상계관세(조사중),"한국,태국"
US,알루미늄 압출재(Aluminum extrusions),"7604101000,7604103000,7604105000,7604210010,7604210090,7604291010,7604291090,7604293060,7604293090,7604295050,7604295090,7608100030,7608100090,7608200030,7608200090,7609000000,7610100010,7610100020,7610100030,7610900040,7610900080",반덤핑(조사중),"한국,중국, 콜롬비아,도미니카공화국,에콰도르,인도,인도네시아,이탈리아,말레이시아,멕시코,대만,태국,튀르키예,UAE,베트남"
US,알루미늄 와이어 및 케이블(Aluminum wire and cable),"8544499000,8544429090",반덤핑(조사중),"한국,캄보디아,베트남"
US,알루미늄 와이어 및 케이블(Aluminum wire and cable),"8544499000,8544429090",상계관세(조사중),"한국,캄보디아,베트남"
US,알루미늄 시트(Common alloy aluminum sheet),"7606113060,7606116000,7606123090,7606126000,7606913090,7606916080,7606923090,7606926080,7606113030,7606123030,7606913060,7606916040",반덤핑(조사중),한국
US,알루미늄 시트(Common alloy aluminum sheet),"7606113060,7606116000,7606123090,7606126000,7606913090,7606916080,7606923090,7606926080,7606113030,7606123030,7606913060,7606916040",상계관세(조사중),한국
CN,광섬유(Dis/sion Unshifted Single-Mode Optical Fiber),90011000,반덤핑(규제중),"한국, 일본, 미국,EU"
CN,니트릴 고무(Nitrile Rubber),"40025910,40025990",반덤핑(규제중),"한국, 일본"
